"PLACEKEY","PARENT_PLACEKEY","LOCATION_NAME","SAFEGRAPH_BRAND_IDS","BRANDS","STORE_ID","TOP_CATEGORY","SUB_CATEGORY","NAICS_CODE","LATITUDE","LONGITUDE","STREET_ADDRESS","CITY","REGION","POSTAL_CODE","ISO_COUNTRY_CODE","PHONE_NUMBER","OPEN_HOURS","CATEGORY_TAGS","OPENED_ON","CLOSED_ON","TRACKING_CLOSED_SINCE","GEOMETRY_TYPE","DOMAINS","WEBSITE"
"222-222@3bh-2b8-mhq","","Majestic View B&B","","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110.0,59.669182,-151.496957,"1660 Race Rd","Homer","AK","99603","US",19072356413.0,"","Breakfast","","","2019-07","POLYGON","""[\\""majesticviewbb.com\\""]""","http://www.majesticviewbb.com"
"222-222@3bh-zsy-w8v","222-223@3bh-zsy-w8v","406 Sportsmans Lodge & Family Sports Cafe","","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511.0,60.557805,-151.243232,"10800 Kenai Spur Hwy","Kenai","AK","99611","US",19072836101.0,"","American Food","","2022-03","2019-07","POLYGON","""[]""",""
"222-222@3bt-brp-r6k","","Michelle Johnson","","","","Offices of Physicians","Offices of Physicians, Mental Health Specialists",621112.0,61.182011,-149.719013,"4353 Rendezvous Cir","Anchorage","AK","99504","US",19077296319.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3bt-by5-p35","","Architectural Supply Company","","","","Building Material and Supplies Dealers","",4441.0,61.187098,-149.894615,"3699 Springer St","Anchorage","AK","99503","US",19075611919.0,"{ ""Mon"": [[""8:30"", ""16:30""]], ""Tue"": [[""8:30"", ""16:30""]], ""Wed"": [[""8:30"", ""16:30""]], ""Thu"": [[""8:30"", ""16:30""]], ""Fri"": [[""8:30"", ""16:30""]], ""Sat"": [], ""Sun"": [] }","Hardware and Tools","","","2019-07","POLYGON","""[]""",""
"222-222@3bt-byd-jsq","","PCNET Communications Inc","","","","Electronics and Appliance Stores","Electronics Stores",443142.0,61.195917,-149.893041,"517 W Northern Lights Blvd","Anchorage","AK","99503","US",19076443965.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","IT Services,Security Systems","","","2019-07","POLYGON","""[\\""pcnetak.com\\""]""","https://pcnetak.com"
"222-222@3bt-fbk-3dv","","Hope Daisy Petal","","","","Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly","Assisted Living Facilities for the Elderly",623312.0,61.618755,-149.491033,"3470 N Daisy Petal Cir","Wasilla","AK","99654","US",19075615335.0,"","Elder Care,Skilled Nursing","","","2019-07","POLYGON","""[]""",""
"222-222@3bt-gq2-y9z","","Mat Su Jewish Center","","","","Religious Organizations","Religious Organizations",813110.0,61.602635,-149.210802,"9530 E Horse Play Cir","Palmer","AK","99645","US",19073501787.0,"","","","","2019-07","POLYGON","""[\\""matsujewishcenter.org\\""]""",""
"222-222@3j9-r9z-sqz","","Miller The Mover Ltd","","","","Specialized Freight Trucking","Used Household and Office Goods Moving",484210.0,55.730982,-97.863729,"84 Berens Rd","Thompson","MB","R8N 1X2","CA",12047786988.0,"{ ""Mon"": [[""8:00"", ""16:30""]], ""Tue"": [[""8:00"", ""16:30""]], ""Wed"": [[""8:00"", ""16:30""]], ""Thu"": [[""8:00"", ""16:30""]], ""Fri"": [[""8:00"", ""16:30""]], ""Sat"": [], ""Sun"": [] }","Movers","","","2019-07","POLYGON","""[\\""millerthemover.ca\\""]""","http://www.millerthemover.ca"
"222-222@3j9-rb6-xqz","","Oak Ridge Meats","","","","Specialty Food Stores","Meat Markets",445210.0,55.726873,-97.868717,"88 Severn Cres","Thompson","MB","R8N 1M6","CA",12047786755.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3js-n2g-n89","","North Centennial Manor","","","","Nursing Care Facilities (Skilled Nursing Facilities)","Nursing Care Facilities (Skilled Nursing Facilities)",623110.0,49.423991,-82.431174,"2 Kimberly Dr","Kapuskasing","ON","P5N 1L5","CA","","","","","","2019-07","POLYGON","""[]""",""
"222-222@3v7-hgn-bc5","","Grandview Chapel","","","","Religious Organizations","Religious Organizations",813110.0,55.769018,-120.22649,"900 94 Ave","Dawson Creek","BC","V1G 1G2","CA",12507824225.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3v8-g9k-n3q","","The Magick Mirror","","","","Offices of Other Health Practitioners","Offices of All Other Miscellaneous Health Practitioners",621399.0,56.254527,-120.857237,"10903 106 St","Fort St. John","BC","V1J 4G2","CA",12502638989.0,"","Alternative Medicine,Naturopathic,Reiki","","","2019-07","POLYGON","""[\\""themagickmirror.net\\""]""","http://www.themagickmirror.net"
"222-222@3vs-mpz-jgk","224-223@3vs-mpv-xkf","OK Tire Stores","SG_BRAND_2db9cc48ee5e27be","OK Tire Stores",2019100.0,"Automotive Parts, Accessories, and Tire Stores","Automotive Parts and Accessories Stores",441310.0,56.722311,-111.37293,"9511 Franklin Ave","Fort Mcmurray","AB","T9H 3Z7","CA",17807430292.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","Auto Repair,Batteries,Tires,Transmission Repair,Wheel Rim Repair","","","2019-07","POLYGON","""[\\""oktire.com\\""]""",""
"222-222@3vs-npq-xdv","","Anzac Community School","","","","Elementary and Secondary Schools","Elementary and Secondary Schools",611110.0,56.448441,-111.047063,"112 Christina Dr","Anzac","AB","T0P 1J0","CA",17803342271.0,"","","","","2019-07","POLYGON","""[\\""anzacschool.ca\\""]""",""
"222-222@3vt-vgh-435","","Petro-Canada","SG_BRAND_478fdeabe681351e","Petro-Canada",78017.0,"Gasoline Stations","Gasoline Stations with Convenience Stores",447110.0,52.156628,-106.690974,"1215 Claypool Dr","Saskatoon","SK","S7R 0E4","CA",13062424023.0,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }","Car Wash,Propane","2022-11","","2021-03","POLYGON","""[\\""petro-canada.ca\\""]""",""
"222-222@3w9-m9q-66k","","Studio 9","","","","Other Miscellaneous Store Retailers","Art Dealers",453920.0,54.311802,-130.325795,"515 3rd Ave W","Prince Rupert","BC","V8J 1L9","CA",12506242366.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3wn-rp8-jn5","","Saik'Uz First Nation","","","","Other Ambulatory Health Care Services","All Other Miscellaneous Ambulatory Health Care Services",621999.0,53.94201,-124.102619,"716 Patrick St","Vanderhoof","BC","V0J 3A1","CA","","","","","","2019-07","POLYGON","""[]""",""
"222-222@3wn-x48-68v","","Nezul Be Hunuyeh Child and Family Services","","","","Printing and Related Support Activities","",3231.0,54.4464,-124.2631,"700 Stuart Dr W","Fort St. James","BC","V0J 1P0","CA","","{ ""Mon"": [[""8:00"", ""16:00""]], ""Tue"": [[""8:00"", ""16:00""]], ""Wed"": [[""8:00"", ""16:00""]], ""Thu"": [[""8:00"", ""16:00""]], ""Fri"": [[""8:00"", ""16:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07","POLYGON","""[\\""nezulbehunuyeh.ca\\""]""","https://www.nezulbehunuyeh.ca"
"222-222@3wv-nxt-gx5","","Bush River Logging","","","","Other Specialty Trade Contractors","",2389.0,51.236265,-116.929797,"969 Jacob Rd","Golden","BC","V0A 1H2","CA",12503446253.0,"","Contractors","","","2019-07","POLYGON","""[]""",""
"222-222@3wx-xrh-5xq","","McDonald's","SG_BRAND_5179b21fc1d50950b99b4eecaa48c614","McDonald's",40575.0,"Restaurants and Other Eating Places","Limited-Service Restaurants",722513.0,49.671236,-112.905523,"5 Mauretania Rd W","Lethbridge","AB","T1J 5L4","CA",15874868620.0,"{ ""Mon"": [[""5:00"", ""23:59""]], ""Tue"": [[""5:00"", ""23:59""]], ""Wed"": [[""5:00"", ""23:59""]], ""Thu"": [[""5:00"", ""23:59""]], ""Fri"": [[""5:00"", ""23:59""]], ""Sat"": [[""5:00"", ""23:59""]], ""Sun"": [[""5:00"", ""23:59""]] }","Drive Through,Breakfast,Burgers,Counter Service,Dinner,Fast Food,Lunch","","","2019-07","POLYGON","""[\\""mcdonalds.com\\""]""","https://www.mcdonalds.com/ca/en-ca/location/40575.html"
"222-222@3wx-xt3-zcq","","Westside Massage Therapy","","","","Offices of Other Health Practitioners","Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340.0,49.697312,-112.903181,"96 Aberdeen Rd W","Lethbridge","AB","T1J 5A5","CA",14037959594.0,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""11:00"", ""17:00""]], ""Sun"": [[""12:00"", ""21:00""]] }","Massage Therapy","","","2019-07","POLYGON","""[\\""westsidemassagetherapy.net\\""]""","http://www.westsidemassagetherapy.net/"
"222-222@3wy-dmd-tgk","","Wise Construction","","","","Residential Building Construction","Residential Remodelers",236118.0,48.924252,-115.114048,"1430 Iowa Flats Rd","Eureka","MT","59917","US",14068895515.0,"","Contractors","","","2019-07","POLYGON","""[]""",""
"222-222@3wy-sgq-75z","","CENEX","SG_BRAND_5956ce26fe2414b2","CENEX",12987.0,"Other Miscellaneous Manufacturing","",3399.0,48.57472,-113.013967,"99 Highway 464","Browning","MT","59417","US",14063384464.0,"{ ""Mon"": [[""0:00"", ""24:00""]], ""Tue"": [[""0:00"", ""24:00""]], ""Wed"": [[""0:00"", ""24:00""]], ""Thu"": [[""0:00"", ""24:00""]], ""Fri"": [[""0:00"", ""24:00""]], ""Sat"": [[""0:00"", ""24:00""]], ""Sun"": [[""0:00"", ""24:00""]] }","","","2023-12","2019-07","POLYGON","""[\\""cenex.com\\""]""",""
"222-222@3wz-4ds-tvz","zzw-222@3wz-4ds-wff","Cavalia's Odysseo","","","","Promoters of Performing Arts, Sports, and Similar Events","Promoters of Performing Arts, Sports, and Similar Events with Facilities",711310.0,51.084027,-114.225158,"9610 1 Ave SW","Calgary","AB","T3B 5T2","CA","","","","","","2019-07","POLYGON","""[]""",""
"222-222@3wz-4j9-swk","","Wild Rose Vacuum Services","","","","Waste Management and Remediation Services","",562.0,51.005495,-113.951821,"5572 53 Ave SE","Calgary","AB","T2C 5G8","CA",14039360004.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","Septic Services","","","2019-07","POLYGON","""[\\""wrenviro.ca\\""]""",""
"222-222@3wz-4jm-gp9","","Anita Jeanine Photography","","","","Other Professional, Scientific, and Technical Services","Photographic Services",54192.0,50.92213,-113.92502,"368 Copperpond Cir SE","Calgary","AB","T2Z 0W4","CA",14034000022.0,"{ ""Mon"": [], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [] }","Photographer,Session Photography","","","2019-07","POLYGON","""[\\""anitajeanine.com\\""]""",""
"222-222@3wz-4jz-hkf","","Riki's Skin Care","","","","Personal Care Services","Hair, Nail, and Skin Care Services",81211.0,50.971885,-114.108915,"2105 90 Ave SW","Calgary","AB","T2V 0X5","CA",14032818301.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3wz-4mm-jsq","","All Kind Door Services Ltd","","","","Machinery, Equipment, and Supplies Merchant Wholesalers","Service Establishment Equipment and Supplies Merchant Wholesalers",423850.0,51.023086,-114.026147,"1455 34 Ave SE","Calgary","AB","T2G 4Y1","CA",14032661411.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07","POLYGON","""[\\""allkinddoorservices.com\\""]""","http://allkinddoorservices.com/"
"222-222@3wz-4mr-b8v","","Davidson Enman Lumber","","","","Other Specialty Trade Contractors","",2389.0,51.016168,-114.05524,"452 42 Ave SE","Calgary","AB","T2G 1Y5","CA",14032432566.0,"","Contractors","","","2019-07","POLYGON","""[]""",""
"222-222@3wz-4mt-59f","222-223@3wz-4mt-59f","Calgary Youth Curling Association","","","","Sporting Goods, Hobby, and Musical Instrument Stores","Sporting Goods Stores",451110.0,51.058576,-114.069796,"720 3 St NW","Calgary","AB","T2N 1N9","CA",14032382380.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3wz-4mv-qxq","","Charm Cleaners","","","","Drycleaning and Laundry Services","Drycleaning and Laundry Services (except Coin-Operated)",812320.0,51.052917,-114.04089,"935 General Ave NE","Calgary","AB","T2E 9E1","CA",14034109045.0,"{ ""Mon"": [[""12:00"", ""18:00""]], ""Tue"": [[""12:00"", ""18:00""]], ""Wed"": [[""12:00"", ""18:00""]], ""Thu"": [[""12:00"", ""18:00""]], ""Fri"": [[""12:00"", ""18:00""]], ""Sat"": [[""11:00"", ""16:00""]], ""Sun"": [] }","","","","2019-07","POLYGON","""[]""",""
"222-222@3x2-6f6-z2k","","Electronics Unlimited","","","","Machinery, Equipment, and Supplies Merchant Wholesalers","",4238.0,50.69055,-120.358911,"417 Tranquille Rd","Kamloops","BC","V2B 3G9","CA",12505548000.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","","","2024-05","2019-07","POLYGON","""[]""",""
"222-222@3x2-6fd-4y9","zzw-222@3x2-6fd-2c5","Tiger Ramen","","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511.0,50.665854,-120.350847,"310-1210 Summit Dr","Kamloops","BC","V2C 6M1","CA",17784716011.0,"{ ""Mon"": [], ""Tue"": [[""11:30"", ""15:30""]], ""Wed"": [[""11:30"", ""15:30""]], ""Thu"": [[""11:30"", ""15:30""], [""16:30"", ""20:00""]], ""Fri"": [[""11:30"", ""15:30""], [""16:30"", ""20:00""]], ""Sat"": [[""11:30"", ""15:30""]], ""Sun"": [] }","","","","2019-07","POLYGON","""[]""",""
"222-222@3x2-9d7-tsq","","Vernon Figure Skating Club","","","","Other Amusement and Recreation Industries","Fitness and Recreational Sports Centers",713940.0,50.270793,-119.278545,"3409 39 Ave","Vernon","BC","V1T 3E3","CA",12505428244.0,"","Amateur Sports Teams","","","2019-07","POLYGON","""[]""",""
"222-222@3x2-dbb-vmk","","My Health Club","","","","Other Amusement and Recreation Industries","Fitness and Recreational Sports Centers",713940.0,49.881722,-119.472715,"1254 Devonshire Ave","Kelowna","BC","V1Y 6B7","CA",12507637338.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3x2-djz-j7q","","Oyama Lake Fishing Resort","","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110.0,50.113409,-119.280014,"7425 Oyama Lake Rd","Lake Country","BC","V4V 2C9","CA",12508621013.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3x2-w8k-kcq","","Subaru of Penticton","SG_BRAND_0b9c5120ea86155f02d81e6f2f90c900","Subaru",7659.0,"Automobile Dealers","New Car Dealers",441110.0,49.494396,-119.610851,"990 Eckhardt Ave W","Penticton","BC","V2A 2C1","CA",12507702002.0,"","","","","2019-07","POLYGON","""[\\""subaru.ca\\"",\\""subaruofpenticton.com\\""]""","http://www.subaruofpenticton.com"
"222-222@3x2-zqj-fpv","","Anna's Professional Piercing","","","","Personal Care Services","Hair, Nail, and Skin Care Services",81211.0,49.828973,-119.627113,"3710 Hoskins Rd","West Kelowna","BC","V4T 2H8","CA",12366682642.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3x3-25r-m6k","","Herb Issler Ministries","","","","Religious Organizations","Religious Organizations",813110.0,49.864674,-119.547245,"2505 Hayman Rd","West Kelowna","BC","V1Z 2A2","CA",12507697382.0,"","Churches","","","2019-07","POLYGON","""[]""",""
"222-222@3x3-26q-kcq","","Straightline Exteriors","","","","Other Specialty Trade Contractors","",2389.0,49.840951,-119.670492,"3390 Gates Rd","Westbank","BC","V4T 1B3","CA",12507684136.0,"","Contractors,Hardware and Tools","","","2019-07","POLYGON","""[]""",""
"222-222@3x4-7p5-tjv","","American Legion Kaniksu Post 144","","","","Other Amusement and Recreation Industries","Fitness and Recreational Sports Centers",713940.0,48.861288,-117.370956,"220 E 4th Ave","Metaline Falls","WA","99153","US",15094464341.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3x4-ktb-jn5","","Arden Ironworks","","","","Other Support Services","",5619.0,48.162154,-116.690785,"193 Peak View Dr","Sagle","ID","83860","US",12083046181.0,"","","","1900-01","2019-07","POLYGON","""[\\""ardenironworks.com\\""]""","http://ardenironworks.com"
"222-222@3x4-my4-975","","7B Boring","","","","Waste Management and Remediation Services","",562.0,48.249322,-116.312136,"226 W Main St","Hope","ID","83836","US",12087057786.0,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","Excavation,Hydro Jetting","","","2019-07","POLYGON","""[\\""7bboringllc.com\\""]""","http://7bboringllc.com"
"222-222@3x5-3gc-9vf","","Hunter Benefits Consulting Group","","","","Other Financial Investment Activities","Investment Advice",523930.0,47.718925,-117.436095,"6701 N Country Homes Blvd","Spokane","WA","99208","US",15094644015.0,"","Financial Advice","","","2019-07","POLYGON","""[\\""hunterbenefits.com\\""]""","http://www.hunterbenefits.com"
"222-222@3x5-44b-6c5","","Kindred Concierge","","","","Services to Buildings and Dwellings","",5617.0,47.655325,-116.916446,"2377 S Kindred Trl","Coeur D Alene","ID","83814","US",12086668888.0,"","Home Cleaning","","","2019-07","POLYGON","""[\\""kindredconcierge.com\\""]""","http://www.kindredconcierge.com"
"222-222@3x5-44s-dd9","","Liberty Mutual Insurance","SG_BRAND_e9ec1ccdd1fc27c6ebff4cc7930bc3b0","Liberty Mutual Insurance","","Insurance Carriers","Direct Property and Casualty Insurance Carriers",524126.0,47.672768,-117.084794,"24041 E Mission Ave","Liberty Lake","WA","99019","US",15099274655.0,"{ ""Mon"": [[""8:30"", ""17:00""]], ""Tue"": [[""8:30"", ""17:00""]], ""Wed"": [[""8:30"", ""17:00""]], ""Thu"": [[""8:30"", ""17:00""]], ""Fri"": [[""8:30"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07","POLYGON","""[\\""libertymutual.com\\""]""","https://www.comparioninsurance.com/insurance-agent/washington/liberty-lake-085h"
"222-222@3x5-4pc-wff","","Bo Apartments","","","","Lessors of Real Estate","Lessors of Residential Buildings and Dwellings",531110.0,47.699847,-116.827314,"3218 N Veneer Rd","Coeur D Alene","ID","83814","US","","","","","","2019-07","POLYGON","""[]""",""
"222-222@3x5-4pp-c89","","Heavenly Hands Reflexology & Natural Nail Boutique","","","","Personal Care Services","Hair, Nail, and Skin Care Services",81211.0,47.760261,-116.78705,"9751 N Government Way","Hayden","ID","83835","US",12086996213.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""10:00"", ""15:00""]], ""Sun"": [] }","Reflexology","","","2019-07","POLYGON","""[\\""soapinggrammy.com\\""]""",""
"222-222@3x5-4s4-qs5","","Broadway and Conklin Apartments","","","","Lessors of Real Estate","Lessors of Residential Buildings and Dwellings",531110.0,47.664062,-117.186314,"723 N Conklin Rd","Spokane Valley","WA","99037","US","","","","","","2019-07","POLYGON","""[]""",""
